date,amount
1990/12/19,100
1990/12/20,104
1990/12/21,109
1990/12/24,115
1990/12/25,120
1990/12/26,125
1990/12/27,125
1990/12/28,126
1990/12/31,128
1991/1/2,129
1991/1/3,130
1991/1/4,131
1991/1/7,132
1991/1/8,133
1991/1/9,133
1991/1/10,134
1991/1/11,135
1991/1/14,135
1991/1/15,135
1991/1/16,134
1991/1/17,134
1991/1/18,134
1991/1/21,134
1991/1/22,134
1991/1/23,133
1991/1/24,133
1991/1/25,132
1991/1/28,131
1991/1/29,131
1991/1/30,130
1991/1/31,130
1991/2/1,130
1991/2/4,129
1991/2/5,129
1991/2/6,129
1991/2/7,130
1991/2/8,130
1991/2/11,131
1991/2/12,131
1991/2/13,132
1991/2/14,133
1991/2/19,133
1991/2/20,134
1991/2/21,134
1991/2/22,135
1991/2/25,134
1991/2/26,134
1991/2/27,133
1991/2/28,133
1991/3/1,133
1991/3/4,132
1991/3/5,131
1991/3/6,131
1991/3/7,130
1991/3/8,130
1991/3/11,129
1991/3/12,129
1991/3/13,126
1991/3/14,126
1991/3/15,125
1991/3/18,125
1991/3/19,124
1991/3/20,124
1991/3/21,123
1991/3/22,123
1991/3/25,122
1991/3/26,122
1991/3/27,121
1991/3/28,121
1991/3/29,120
1991/4/1,121
1991/4/2,121
1991/4/3,122
1991/4/4,122
1991/4/5,122
1991/4/8,121
1991/4/9,121
1991/4/10,120
1991/4/11,120
1991/4/12,119
1991/4/15,119
1991/4/16,118
1991/4/17,118
1991/4/18,117
1991/4/19,117
1991/4/22,117
1991/4/23,116
1991/4/24,116
1991/4/25,115
1991/4/26,116
1991/4/29,115
1991/4/30,114
1991/5/2,113
1991/5/3,112
1991/5/6,112
1991/5/7,111
1991/5/8,110
1991/5/9,109
1991/5/10,109
1991/5/13,108
1991/5/14,107
1991/5/15,107
1991/5/16,106
1991/5/17,107
1991/5/20,108
1991/5/21,109
1991/5/22,108
1991/5/23,109
1991/5/24,110
1991/5/27,111
1991/5/28,112
1991/5/29,113
1991/5/30,114
1991/5/31,115
1991/6/3,116
1991/6/4,117
1991/6/5,118
1991/6/6,119
1991/6/7,120
1991/6/10,122
1991/6/11,123
1991/6/12,124
1991/6/13,125
1991/6/14,125
1991/6/17,126
1991/6/18,127
1991/6/19,128
1991/6/20,130
1991/6/21,131
1991/6/24,132
1991/6/25,133
1991/6/26,135
1991/6/27,136
1991/6/28,138
1991/7/1,137
1991/7/2,136
1991/7/3,135
1991/7/4,137
1991/7/5,136
1991/7/8,135
1991/7/9,135
1991/7/10,134
1991/7/11,133
1991/7/12,133
1991/7/15,133
1991/7/16,134
1991/7/17,136
1991/7/18,137
1991/7/19,137
1991/7/22,138
1991/7/23,139
1991/7/24,141
1991/7/25,140
1991/7/26,141
1991/7/29,142
1991/7/30,142
1991/7/31,144
1991/8/1,145
1991/8/2,147
1991/8/5,148
1991/8/6,150
1991/8/7,151
1991/8/8,153
1991/8/9,154
1991/8/12,156
1991/8/13,157
1991/8/14,159
1991/8/15,160
1991/8/16,162
1991/8/19,163
1991/8/20,165
1991/8/21,166
1991/8/22,168
1991/8/23,170
1991/8/26,172
1991/8/27,173
1991/8/28,175
1991/8/29,177
1991/8/30,178
1991/9/2,180
1991/9/3,182
1991/9/4,184
1991/9/5,186
1991/9/6,187
1991/9/9,189
1991/9/10,188
1991/9/11,187
1991/9/12,186
1991/9/13,188
1991/9/16,190
1991/9/17,189
1991/9/18,188
1991/9/19,187
1991/9/20,186
1991/9/23,185
1991/9/24,184
1991/9/25,183
1991/9/26,182
1991/9/27,182
1991/9/30,181
1991/10/3,182
1991/10/4,184
1991/10/7,186
1991/10/8,187
1991/10/9,189
1991/10/10,191
1991/10/11,193
1991/10/14,195
1991/10/15,197
1991/10/16,199
1991/10/17,201
1991/10/18,203
1991/10/21,205
1991/10/22,207
1991/10/23,208
1991/10/24,210
1991/10/25,212
1991/10/28,214
1991/10/29,216
1991/10/30,216
1991/10/31,219
1991/11/1,221
1991/11/4,223
1991/11/5,225
1991/11/6,227
1991/11/7,229
1991/11/8,231
1991/11/11,234
1991/11/12,236
1991/11/13,237
1991/11/14,237
1991/11/15,238
1991/11/18,241
1991/11/19,242
1991/11/20,245
1991/11/21,246
1991/11/22,249
1991/11/25,251
1991/11/26,253
1991/11/27,255
1991/11/28,257
1991/11/29,260
1991/12/2,262
1991/12/3,265
1991/12/4,266
1991/12/5,267
1991/12/6,269
1991/12/9,270
1991/12/10,273
1991/12/11,274
1991/12/12,274
1991/12/13,277
1991/12/16,278
1991/12/17,279
1991/12/18,280
1991/12/19,280
1991/12/20,283
1991/12/23,286
1991/12/24,286
1991/12/25,287
1991/12/26,288
1991/12/27,291
1991/12/30,292
1991/12/31,293
1992/1/2,294
1992/1/3,297
1992/1/6,298
1992/1/7,299
1992/1/8,300
1992/1/9,301
1992/1/10,302
